"","sex","age","entity","year_month","head_count"
"273","Female","Under25years","Clare County","2002M05","244"
"274","Female","Under25years","Cork County","2002M05","1186"
"275","Female","Under25years","Donegal County","2002M05","910"
"276","Female","Under25years","Dublin County","2002M05","2642"
"277","Female","Under25years","Galway County","2002M05","780"
"278","Female","Under25years","Kerry County","2002M05","345"
"279","Female","Under25years","Kildare County","2002M05","305"
"280","Female","Under25years","Kilkenny County","2002M05","159"
"281","Female","Under25years","Laoighis County","2002M05","190"
"282","Female","Under25years","Leitrim County","2002M05","65"
"283","Female","Under25years","Limerick County","2002M05","543"
"284","Female","Under25years","Longford County","2002M05","122"
"285","Female","Under25years","Louth County","2002M05","591"
"286","Female","Under25years","Mayo County","2002M05","369"
"287","Female","Under25years","Meath County","2002M05","225"
"288","Female","Under25years","Monaghan County","2002M05","220"
"289","Female","Under25years","North Tipperary","2002M05","178"
"290","Female","Under25years","Offaly County","2002M05","209"
"291","Female","Under25years","Roscommon County","2002M05","101"
"292","Female","Under25years","Sligo County","2002M05","197"
"293","Female","Under25years","South Tipperary","2002M05","296"
"294","Female","Under25years","Waterford County","2002M05","434"
"295","Female","Under25years","Westmeath County","2002M05","331"
"296","Female","Under25years","Wexford County","2002M05","602"
"297","Female","Under25years","Wicklow County","2002M05","265"
"298","Female","25yearsandover","Carlow County","2002M05","716"
"299","Female","25yearsandover","Cavan County","2002M05","605"
"300","Female","25yearsandover","Clare County","2002M05","1239"
"301","Female","25yearsandover","Cork County","2002M05","5133"
"302","Female","25yearsandover","Donegal County","2002M05","2824"
"303","Female","25yearsandover","Dublin County","2002M05","11632"
"304","Female","25yearsandover","Galway County","2002M05","2790"
"305","Female","25yearsandover","Kerry County","2002M05","1698"
"306","Female","25yearsandover","Kildare County","2002M05","1493"
"307","Female","25yearsandover","Kilkenny County","2002M05","652"
"308","Female","25yearsandover","Laoighis County","2002M05","717"
"309","Female","25yearsandover","Leitrim County","2002M05","433"
"310","Female","25yearsandover","Limerick County","2002M05","2354"
"311","Female","25yearsandover","Longford County","2002M05","537"
"312","Female","25yearsandover","Louth County","2002M05","2568"
"313","Female","25yearsandover","Mayo County","2002M05","2054"
"314","Female","25yearsandover","Meath County","2002M05","1005"
"315","Female","25yearsandover","Monaghan County","2002M05","854"
"316","Female","25yearsandover","North Tipperary","2002M05","733"
"317","Female","25yearsandover","Offaly County","2002M05","853"
"318","Female","25yearsandover","Roscommon County","2002M05","488"
"319","Female","25yearsandover","Sligo County","2002M05","741"
"320","Female","25yearsandover","South Tipperary","2002M05","1092"
"321","Female","25yearsandover","Waterford County","2002M05","1845"
"322","Female","25yearsandover","Westmeath County","2002M05","1184"
"323","Female","25yearsandover","Wexford County","2002M05","2250"
"324","Female","25yearsandover","Wicklow County","2002M05","1280"
"325","Male","Under25years","Carlow County","2002M06","244"
"326","Male","Under25years","Cavan County","2002M06","197"
"327","Male","Under25years","Clare County","2002M06","328"
"328","Male","Under25years","Cork County","2002M06","1850"
"329","Male","Under25years","Donegal County","2002M06","1280"
"330","Male","Under25years","Dublin County","2002M06","4668"
"331","Male","Under25years","Galway County","2002M06","1020"
"332","Male","Under25years","Kerry County","2002M06","535"
"333","Male","Under25years","Kildare County","2002M06","441"
"334","Male","Under25years","Kilkenny County","2002M06","294"
"335","Male","Under25years","Laoighis County","2002M06","253"
"336","Male","Under25years","Leitrim County","2002M06","103"
"337","Male","Under25years","Limerick County","2002M06","944"
"338","Male","Under25years","Longford County","2002M06","204"
"339","Male","Under25years","Louth County","2002M06","960"
"340","Male","Under25years","Mayo County","2002M06","588"
"341","Male","Under25years","Meath County","2002M06","311"
"342","Male","Under25years","Monaghan County","2002M06","301"
"343","Male","Under25years","North Tipperary","2002M06","265"
"344","Male","Under25years","Offaly County","2002M06","279"
"345","Male","Under25years","Roscommon County","2002M06","123"
"346","Male","Under25years","Sligo County","2002M06","286"
"347","Male","Under25years","South Tipperary","2002M06","455"
"348","Male","Under25years","Waterford County","2002M06","640"
"349","Male","Under25years","Westmeath County","2002M06","351"
"350","Male","Under25years","Wexford County","2002M06","692"
"351","Male","Under25years","Wicklow County","2002M06","428"
"352","Male","25yearsandover","Carlow County","2002M06","960"
"353","Male","25yearsandover","Cavan County","2002M06","994"
"354","Male","25yearsandover","Clare County","2002M06","1654"
"355","Male","25yearsandover","Cork County","2002M06","8594"
"356","Male","25yearsandover","Donegal County","2002M06","5052"
"357","Male","25yearsandover","Dublin County","2002M06","20189"
"358","Male","25yearsandover","Galway County","2002M06","4341"
"359","Male","25yearsandover","Kerry County","2002M06","2708"
"360","Male","25yearsandover","Kildare County","2002M06","1832"
"361","Male","25yearsandover","Kilkenny County","2002M06","1088"
"362","Male","25yearsandover","Laoighis County","2002M06","910"
"363","Male","25yearsandover","Leitrim County","2002M06","659"
"364","Male","25yearsandover","Limerick County","2002M06","3705"
"365","Male","25yearsandover","Longford County","2002M06","880"
"366","Male","25yearsandover","Louth County","2002M06","3569"
"367","Male","25yearsandover","Mayo County","2002M06","3214"
"368","Male","25yearsandover","Meath County","2002M06","1390"
"369","Male","25yearsandover","Monaghan County","2002M06","1228"
"370","Male","25yearsandover","North Tipperary","2002M06","1052"
"371","Male","25yearsandover","Offaly County","2002M06","1124"
"372","Male","25yearsandover","Roscommon County","2002M06","771"
"373","Male","25yearsandover","Sligo County","2002M06","1147"
"374","Male","25yearsandover","South Tipperary","2002M06","1718"
"375","Male","25yearsandover","Waterford County","2002M06","2668"
"376","Male","25yearsandover","Westmeath County","2002M06","1402"
"377","Male","25yearsandover","Wexford County","2002M06","2948"
"378","Male","25yearsandover","Wicklow County","2002M06","1928"
"379","Female","Under25years","Carlow County","2002M06","198"
"380","Female","Under25years","Cavan County","2002M06","150"
"381","Female","Under25years","Clare County","2002M06","251"
"382","Female","Under25years","Cork County","2002M06","1404"
"383","Female","Under25years","Donegal County","2002M06","1051"
"384","Female","Under25years","Dublin County","2002M06","2856"
"385","Female","Under25years","Galway County","2002M06","942"
"386","Female","Under25years","Kerry County","2002M06","391"
"387","Female","Under25years","Kildare County","2002M06","360"
"388","Female","Under25years","Kilkenny County","2002M06","173"
"389","Female","Under25years","Laoighis County","2002M06","206"
"390","Female","Under25years","Leitrim County","2002M06","70"
"391","Female","Under25years","Limerick County","2002M06","647"
"392","Female","Under25years","Longford County","2002M06","145"
"393","Female","Under25years","Louth County","2002M06","653"
"394","Female","Under25years","Mayo County","2002M06","457"
"395","Female","Under25years","Meath County","2002M06","251"
"396","Female","Under25years","Monaghan County","2002M06","250"
"397","Female","Under25years","North Tipperary","2002M06","210"
"398","Female","Under25years","Offaly County","2002M06","257"
"399","Female","Under25years","Roscommon County","2002M06","126"
"400","Female","Under25years","Sligo County","2002M06","218"
"401","Female","Under25years","South Tipperary","2002M06","321"
"402","Female","Under25years","Waterford County","2002M06","508"
"403","Female","Under25years","Westmeath County","2002M06","357"
"404","Female","Under25years","Wexford County","2002M06","638"
"405","Female","Under25years","Wicklow County","2002M06","279"
"406","Female","25yearsandover","Carlow County","2002M06","806"
"407","Female","25yearsandover","Cavan County","2002M06","694"
"408","Female","25yearsandover","Clare County","2002M06","1324"
"409","Female","25yearsandover","Cork County","2002M06","5808"
"410","Female","25yearsandover","Donegal County","2002M06","2981"
"411","Female","25yearsandover","Dublin County","2002M06","13081"
"412","Female","25yearsandover","Galway County","2002M06","3111"
"413","Female","25yearsandover","Kerry County","2002M06","1747"
"414","Female","25yearsandover","Kildare County","2002M06","1627"
"415","Female","25yearsandover","Kilkenny County","2002M06","686"
"416","Female","25yearsandover","Laoighis County","2002M06","771"
"417","Female","25yearsandover","Leitrim County","2002M06","474"
"418","Female","25yearsandover","Limerick County","2002M06","2758"
"419","Female","25yearsandover","Longford County","2002M06","608"
"420","Female","25yearsandover","Louth County","2002M06","2727"
"421","Female","25yearsandover","Mayo County","2002M06","2242"
"422","Female","25yearsandover","Meath County","2002M06","1110"
"423","Female","25yearsandover","Monaghan County","2002M06","932"
"424","Female","25yearsandover","North Tipperary","2002M06","860"
"425","Female","25yearsandover","Offaly County","2002M06","977"
"426","Female","25yearsandover","Roscommon County","2002M06","544"
"427","Female","25yearsandover","Sligo County","2002M06","852"
"428","Female","25yearsandover","South Tipperary","2002M06","1192"
"429","Female","25yearsandover","Waterford County","2002M06","2079"
"430","Female","25yearsandover","Westmeath County","2002M06","1314"
"431","Female","25yearsandover","Wexford County","2002M06","2371"
"432","Female","25yearsandover","Wicklow County","2002M06","1467"
"433","Male","Under25years","Carlow County","2002M07","242"
"434","Male","Under25years","Cavan County","2002M07","202"
"435","Male","Under25years","Clare County","2002M07","346"
"436","Male","Under25years","Cork County","2002M07","1960"
"437","Male","Under25years","Donegal County","2002M07","1290"
"438","Male","Under25years","Dublin County","2002M07","5039"
"439","Male","Under25years","Galway County","2002M07","1113"
"440","Male","Under25years","Kerry County","2002M07","567"
"441","Male","Under25years","Kildare County","2002M07","477"
"442","Male","Under25years","Kilkenny County","2002M07","298"
"443","Male","Under25years","Laoighis County","2002M07","256"
"444","Male","Under25years","Leitrim County","2002M07","112"
"445","Male","Under25years","Limerick County","2002M07","1019"
"446","Male","Under25years","Longford County","2002M07","211"
"447","Male","Under25years","Louth County","2002M07","922"
"448","Male","Under25years","Mayo County","2002M07","611"
"449","Male","Under25years","Meath County","2002M07","316"
"450","Male","Under25years","Monaghan County","2002M07","312"
"451","Male","Under25years","North Tipperary","2002M07","281"
"452","Male","Under25years","Offaly County","2002M07","287"
"453","Male","Under25years","Roscommon County","2002M07","128"
"454","Male","Under25years","Sligo County","2002M07","319"
"455","Male","Under25years","South Tipperary","2002M07","473"
"456","Male","Under25years","Waterford County","2002M07","678"
"457","Male","Under25years","Westmeath County","2002M07","348"
"458","Male","Under25years","Wexford County","2002M07","732"
"459","Male","Under25years","Wicklow County","2002M07","439"
"460","Male","25yearsandover","Carlow County","2002M07","977"
"461","Male","25yearsandover","Cavan County","2002M07","1005"
"462","Male","25yearsandover","Clare County","2002M07","1638"
"463","Male","25yearsandover","Cork County","2002M07","8696"
"464","Male","25yearsandover","Donegal County","2002M07","5051"
"465","Male","25yearsandover","Dublin County","2002M07","20768"
"466","Male","25yearsandover","Galway County","2002M07","4468"
"467","Male","25yearsandover","Kerry County","2002M07","2804"
"468","Male","25yearsandover","Kildare County","2002M07","1843"
